dataset,column,rows,missing_values,missing_pct,unique_values
sales_daily_clean,date,4143561,0,0.0,1461
sales_daily_clean,sku_id,4143561,0,0.0,5000
sales_daily_clean,units_sold,4143561,0,0.0,793
sales_daily_clean,revenue,4143561,0,0.0,343972
sales_daily_clean,avg_unit_price,4143561,0,0.0,6146
sales_daily_clean,avg_discount_pct,4143561,0,0.0,124
sales_daily_clean,transaction_count,4143561,0,0.0,462
sku_master_clean,sku_id,5000,0,0.0,5000
sku_master_clean,sku_name,5000,0,0.0,4458
sku_master_clean,category,5000,0,0.0,12
sku_master_clean,subcategory,5000,0,0.0,53
sku_master_clean,unit_price,5000,0,0.0,4837
sku_master_clean,cost_price,5000,0,0.0,4791
sku_master_clean,brand,5000,0,0.0,30
inventory_clean,store_id,21228,0,0.0,30
inventory_clean,sku_id,21228,0,0.0,4481
inventory_clean,stock_on_hand,21228,0,0.0,586
inventory_clean,reorder_point,21228,0,0.0,81
inventory_clean,safety_stock,21228,0,0.0,47
inventory_clean,last_restock_date,21228,0,0.0,221
promotions_clean,promo_id,100,0,0.0,100
promotions_clean,promo_name,100,0,0.0,72
promotions_clean,start_date,100,0,0.0,96
promotions_clean,end_date,100,0,0.0,97
promotions_clean,discount_pct,100,0,0.0,87
promotions_clean,promo_type,100,0,0.0,5
promotions_clean,target_type,100,0,0.0,4
promotions_clean,target_value,100,0,0.0,49
analysis_ready_daily,date,4143561,0,0.0,1461
analysis_ready_daily,sku_id,4143561,0,0.0,5000
analysis_ready_daily,units_sold,4143561,0,0.0,793
analysis_ready_daily,revenue,4143561,0,0.0,343972
analysis_ready_daily,avg_unit_price,4143561,0,0.0,6146
analysis_ready_daily,avg_discount_pct,4143561,0,0.0,124
analysis_ready_daily,transaction_count,4143561,0,0.0,462
analysis_ready_daily,sku_name,4143561,0,0.0,4458
analysis_ready_daily,category,4143561,0,0.0,12
analysis_ready_daily,subcategory,4143561,0,0.0,53
analysis_ready_daily,unit_price,4143561,0,0.0,4837
analysis_ready_daily,cost_price,4143561,0,0.0,4791
analysis_ready_daily,brand,4143561,0,0.0,30
analysis_ready_daily,year,4143561,0,0.0,4
analysis_ready_daily,month,4143561,0,0.0,12
analysis_ready_daily,week,4143561,0,0.0,52
analysis_ready_daily,quarter,4143561,0,0.0,4
analysis_ready_daily,day_of_week,4143561,0,0.0,7
analysis_ready_daily,is_weekend,4143561,0,0.0,2
