fold,model,train_end,test_start,test_end,wape,bias,training_seconds
1,Seasonal Naive,2024-06-24,2024-07-01,2024-08-19,0.3688590912704271,-0.015425,0.0
1,XGBoost,2024-06-24,2024-07-01,2024-08-19,0.341542307505941,-3.1870074541501685,6.406728506088257
1,LightGBM,2024-06-24,2024-07-01,2024-08-19,0.33324413092753413,-3.010951201615591,3.2087769508361816
2,Seasonal Naive,2024-12-23,2024-12-30,2025-02-17,0.40662196042158555,1.0506,0.0
2,XGBoost,2024-12-23,2024-12-30,2025-02-17,0.3127310781005416,-1.684295659506321,4.365750551223755
2,LightGBM,2024-12-23,2024-12-30,2025-02-17,0.28149841293475203,-0.054051619695512775,3.403069257736206
3,Seasonal Naive,2025-06-23,2025-06-30,2025-08-18,0.36075571983595944,-0.039525,0.0
3,XGBoost,2025-06-23,2025-06-30,2025-08-18,0.2693613034276424,0.16137274929881096,5.241663217544556
3,LightGBM,2025-06-23,2025-06-30,2025-08-18,0.2667498602910894,0.16203692205372203,4.9442055225372314
4,Seasonal Naive,2025-10-27,2025-11-03,2025-12-22,0.3390002650851651,-0.674525,0.0
4,XGBoost,2025-10-27,2025-11-03,2025-12-22,0.2814771997528407,-1.1439674002051354,6.513837814331055
4,LightGBM,2025-10-27,2025-11-03,2025-12-22,0.2759881909950376,-1.376137833592847,4.121514320373535
